video_id,video_title,channel_name
0JVmF_5ZFvY,Freemasonry Legends Revealed - Episode 1,Arcadia Entertainment
LEl8pGJyIhM,Does David Icke think Donald Trump is a renegade?,TalkTV
jBIwuyxNymc,Jonathan Cahn: The Chaldean Mystery (part 1 to 3),Connie Oelbaum
8vV3oSnxLa0,Secret Knowledge Hidden Underneath the Great Sphinx,After Skool
uaSY2Zc0goQ,"Ep. 1 | USS Nimitz, Tic Tac UFO, AATIP, FAA, the Navy and Pentagon | The Basement Office |",New York Post
z_-f7qp2ws4,"Bible Prophecy Update – June 9th, 2019",J.D. Farag
CNkVGiSgOM4,Shouldn't sea levels have risen by now?,Simon Clark
tgXZQHyMjgM,UNDERSTANDING SHAVUOT/PENTECOST,Lover of HaMashiach
z25NfZ0Ea9c,"Ep. 2 | Flying Saucer UFOs | Roswell, Kenneth Arnold, McMinnville, Rex Heflin | The Basement Office",New York Post
abH30Id7REM,"Tom Renfro Had Cancer, But Jesus' Blood Had the Final Word!",Sid Roth's It's Supernatural!
74iDRgpJbtY,The Limits of our Knowledge,Gresham College
CEs3Faf4ttg,12 weird discoveries in ancient paintings you won't believe,Rumble Viral
yHpBQQzgw_U,Extraterrestrials (Pastor Charles Lawson),zion4131
6-bz9VmrEFs,Ancient Secrets to Modern Times,The 700 Club
-toZnEAPR0o,The Decision to Pray with Power,Hagee Ministries
zev6OI8mn9k,A Disturbing Dream About President Donald Trump and China,Jennifer LeClaire Ministries
sPHVvg-dXOs,Melbourne UFO Mystery: 50 Years On | Studio 10,Studio 10
UCpMyvMwPFQ,Dr  David Jeremiah - Agents of the Apocalypse,William Radcliff
9rctoqWu3i0,Megalithic Mysteries: Peru's strange precision granite cave in the Andes!,UnchartedX
rver8vjc04U,It Will Be Done By 2030,Video Advice
mOwIeu3zAQc,Amir Tsarfati: The Middle East in Bible Prophecy,Prophecy Source
pY-v20XuoY0,Theories That Will Keep You UP At Night!,Talltanic
PRgoisHRmUE,The Nimitz Encounters,The Nimitz Encounters
aEkjhwkL7Ys,Did scientists get it wrong about global warming?,Channel 4 News
NNOMu7Iyc5E,Steven Bancarz – From New Age Influencer to Jesus Follower,Sid Roth's It's Supernatural!
TyJygjjVmuc,Falaknuma Das Hero Vishwak Sen Fires On Reporter | NTV Entertainment,NTV Entertainment
fHwmWnY4P1w,Inside the Navy's 2015 encounter with a UFO,Fox News
XybwbgvGEzI,"Bible Prophecy Update – May 26th, 2019",J.D. Farag
No_q5013XTM,"2019 05 26 John Haller - ""Clarity and Confusion""",Fellowship Bible Chapel
6-LG7l9erZY,Face to Face with a Shapeshifting Witch Doctor | David Hogan,Sid Roth's It's Supernatural!
_XEaCP_iarA,“Revelation’s Prophetic Movement at End-Time” | 24- Revelation's Ancient Discoveries,Three Angels Broadcasting Network (3ABN)
jlX53SGe98s,Most Interesting TOP SECRET US Military Facilities,Covert Cabal
aSpkxK9IRng,UHURU ANGRY AS MUSALIA MUDAVADI LECTURES HIM ON STATE OF NATION ADDRESS!!,Mutembei TV
Ua0Z45_XZ9E,His Veins Run Cold When He Realizes Who's Been Haunting The Homestead All Along,Homesteading Off The Grid
eGZWs738eu4,Pilots report encounters with high-flying objects,ABC News
qEfbDsZ4R4w,The Irish Are Convinced That The Australian Economy Will Systematically Collapse!,In the Interests of the People
xvqdhphHrh0,Alex Jones “I’m Ready to Die” - Exclusive Interview After Being Banned,Valuetainment
-0a7TvkuDrE,ਇਨਸਾਫ ਨਹੀਂ ਤਾਂ ਸਾਡੇ ਪੁੱਤ ਦੀ ਲਾਸ਼ ਈ ਦੇ ਦਿਓ- ਜਸਪਾਲ ਦੇ ਮਾਪੇ ॥KTV GLOBAL ॥,KTV
BLsfuCfOSHA,How strong is the Hindu vote bank of Narendra Modi,IndiaTV
hO189oBtn5U,The Cardiff Giant,Onondaga Historical Association
DQzEaiOI3U0,Revealed Photos Show Something Huge May be Hidden in Ancient Egypt – Lost Civilizations & Egyptians,Bright Insight
reuLE8oTUOk,"Israel, The Beast and the End Times (With Greg Laurie)",Pastor Greg Laurie
iCfuTzzIynk,"2019 தேர்தல் முடிவுகள்? மத்திய, மாநில கட்சிகளுக்கு உள்ள வாய்ப்புகள்? | சிறப்பு விவாதம்",PuthiyathalaimuraiTV
vvvIN8e6yTw,BREAKING: TORNADOES On The Ground In Oklahoma,LiveNOW from FOX
QeajYcltm5c,Oldest Technologies Scientists Still Can't Explain,Amazing Stock
lvTL_lnN5-Q,“Revelation’s Mark of the Beast Exposed” | 22 - Revelation's Ancient Discoveries,Three Angels Broadcasting Network (3ABN)
b--bO8F4vJ8,சொந்த காரணங்களால் ராஜினாமா செய்தேன் - தோப்பு வெங்கடாசலம் | Thoppu Venkatachalam,Thanthi TV
q5F9PegFXUM,God Held Me. What He Did Next Changed Me Forever!,Sid Roth's It's Supernatural!
vzYwCmDDSLA,JFK Assassination: The Truth Told by Secret Service Agent Clint Hill,Valuetainment
3aIDLjaj-qY,"Bible Prophecy Update – May 19th, 2019",J.D. Farag
r0Rb_RcA5YE,"2019 05 19 John Haller Prophecy Update ""Truly Gritty"" (from The Superior Word, Sarasota, FL)",Fellowship Bible Chapel
MjcYCrpscBU,ʬ Advanced Ancient Technology : Uncovering new Evidence of Egypt and Man's Origins (Full Doumentary),Alysha Friedly
nrwfqfaXnhM,"Bible Prophecy Update – May 12th, 2019",J.D. Farag
-TlGc4slOMo,James McGrogan - Missing 411,Canam Missing Project
pyNrwfDVzeI,Should David Icke be judged for his Wogan appearance?,TalkTV
wRwYfI_X7nE,"BIGFOOT DOCUMENTARY-BIGFOOT ODYSSEY  episode 8 Rez Squatching, Omaha tribe & Citonga",Bigfoot Odyssey
M7vt5paORIc,Ancient Aliens: The Hollow Earth Theory (Season 10) | History,HISTORY
RZ3Rlvvjz8I,The Untold Truth Of Sodom And Gomorrah,Grunge
NnM-VEZkgm8,HISTORIA YA UKISTO (Sehemu ya 1): KUMBE HUU SIO UKRISTO AMBAO YESU ALIULETA DUNIANI HUWEZI KUAMINI,Tricod Media
uWcgFtbnV5w,10 UFO Sightings People Have Witnessed in Real Life!,The Finest
2LYBVAf8UfA,Were Advanced Civilizations Here Before Us?  | Unveiled,Unveiled
3MZr5J5DOfk,Joe Rogan | The Harsh Truths of Operation Paperclip (NASA & Nazi's) w/Annie Jacobsen,JRE Clips
0JXiefMAc2Q,Flat Earth Fudging at its Finest!!,SciManDan
9WvQIcSCgiI,What is the Future of Iran in Bible Prophecy?,Pastor Greg Laurie
3uWyqVZzdDw,"HUSSEIN BASHE ATEMA CHECHE BALAA, SPIKA NDUGAI KASHINDWA KAMPA TANO AISEE",Uhondo TV
sPimZmCIx4Y,Clear Evidence Of Ancient Advanced Machining Technology At Karnak  In Egypt,Brien Foerster
291pZIx__zQ,What I Saw Through This Heavenly Door Will Amaze You! | Kynan Bridges,Sid Roth's It's Supernatural!
EEJDrTlTgFc,Mark Taylor Prophecy - Democratic Party Will be Destroyed in November 2020,Qronos16
NTndovQnKQE,Interview from Jan Markell’s Understanding the Times 2018 – J.D. Farag,Jan Markell
NjsotPb9Ed8,"200 mile wide Space Object Leads to Elusive Planet X, Cosmic Close Encounter with Earth",Skywatch Media News
TFBcuG4gwsE,Interview from Jan Markell’s Understanding the Times 2018 – Amir Tsarfati,Jan Markell
kFp12xmikCw,SILENT RETURN Of Unknown Objects Across The Globe,secureteam10
uVRXTlP4CYQ,Mike Clelland - Owls and UFO Contact,Ozark Mountain Publishing
lSDb7iBTg70,Kent Hovind: Dinosaurs and the Bible part 1,EKrassner90
vPWHduWKuZw,"7,000-Year-Old Europeans in Florida, North America | Ancient Architects",Ancient Architects
EOXQwaP3mqQ,THE HIDDEN INVASION FLEET DISCOVERED(!) LURKING IN THE CARIBBEAN ... UNCOVERED(!),Florida Maquis
YCsvpJ6ey-o,Covenant-Breaker Antichrist Trump Terminates Another Treaty,Brother James Key
8ct5zXaVYAU,MAJOR DANGER! Hurricane Michael 40 Waves & a Surprise Ending!,thornews
t-99Py871Ls,The Tribe of Dan - ROBERT SEPEHR,Atlantean Gardens
buNCOlB-HeM,UFO Encounters with the World Militaries | Richard Dolan,secretspaceprogram
svUAvw58W6E,Danny Searle –  a message from the Pleiadians @ Paradigm Shift Summit,Paradigm Shift Summit
XUsbos3Z4DE,UFOs and the Breakaway Civilization. Richard Dolan Intelligent Disclosure.,Richard Dolan Intelligent Disclosure
QAv5eLfEdQ4,Bill Cooper Interview CNN Uncut 1992 original FULL,DarkEmperor
-f7yxaw78dU,The New al Qaeda [Terrorism Documentaries],Terrorism Documentaries
egj4jLvbVqI,Military Insider - How to Film UFO's & Alien Bodies Have Been Captured,Leak Project
HrXSw2wzQpc,Pastor Alph LUKAU gives a man a wife right in Church !! NOT SEEN BEFORE IN AMI !!,Pastor Alph Lukau
_tuVWXvvh3o,"The Inventory Stela, the Sphinx and the Great Pyramid | Ancient Architects",Ancient Architects
g0YqAE_bR2M,Ripple/XRP - The Dominos Are Falling...,Love For Crypto
O2I37RT3TCo,Agenda 21....You are dead....,lumpfish99
Yl-PI4tYbMQ,Truth In The Myths Of Giants,Gaia
hJbUvdMNlfc,Taylor Swift Is doing WHAT?? YOU WILL NOT BELIEVE WHAT SHE IS ABOUT TO DO!!!!,The Douglas Ducote Show
P2RT6-HZZms,Jim Vieira: A Giant Problem in Ancient America | Lecture at CoSM in New York | Part 2,MegalithomaniaUK
alqp2wHY_10,The Moon Landings Absolutely Happened!!,SciManDan
-xHfeJKN7QU,Israel As God Intends,Doreen Dotan
Vg5R2mFDkZk,Aliens of the Old Testament with Erich von Däniken,Gaia
oJvjl9_Wmys,Erich Von Daniken: Unsolved Mysteries of the Past,UFO HUB
WTjUCvRb8V4,The 'Illuminati' Revealed In The Qur'an 1400+ Years Ago!,The Vigilant One
nv27RPpmf0M,God’s Prophetic Pulpit in the Last Days – Pastor Jack Hibbs,Jan Markell
RHICpe2gaPU,Melted Stonework In Peru ~ Proof Of Ancient War?,Mystery History
vgxsJfGwp48,SpaceX COVER UP - Secret Ancient Technology,Jake The Asshole
SYz2qQ_PswI,Fireside Chat Episode 52 - The Kavanaugh Circus,PragerU
jC5wX1Q8F90,"Hare Krishna OWO Castle of Primogeniture, NWO Pandavas & Prabhupada Sleep Deprivation Indoctrination",Giureh - G.I.U.R.E.H.
rZ7NeIkMC9E,Astronomer captures a UFO with all clarity passing at high speed in front of the Moon.,UFOvni2012
Qu_gCymztlo,BRAZIL JUNGLE FORCES BRIGADE ADVANCES TOWARD VENEZUELA(!)NORTHERN FLEET NOW IN COLUMN FORMATION(!),Florida Maquis
