video_id,channel_name,video_title
J-SuBobBeT0,CBSMornings,White House deals with fallout from Trump testing positive for COVID-19
ToXv7VtUmmA,DailyMail,'Immoral and ridiculous': Angry citizens react as Rishi Sunak's 2021 Budget is announced
CaeTzl2fQVw,NYPost,Compare and Contrast These Two Leaders
LAyReOuccXY,USAToday,Quick-thinking umpire rescues kid caught in dust devil | USA TODAY
i1lV-TXnhGo,WashingtonPost,'Stay down!' Video shows gunfire at baseball practice
6IN4ZcZAUbA,Vox,The global coffee crisis is coming
16Sp5fQyelA,C-SPAN,Sen. Scott Brown (R-MA) Swearing-In
wZS4gNVvW7o,MassLive,"Philadelphia riots: Eagles fans celebrate Super Bowl win with fire, destruction, mayhem"
u1-ySNligLs,C-SPAN,LCV Cities Tour - Birmingham: Arlington House and Gardens
JnJGoWWzUMc,Forbes,Marshmello Behind The Cover | 30 Under 30 2019 | Forbes
F3F58Nzc13c,CBS,Arizona Republicans audit ballots in attempt to overturn election
UBdVOT501Ug,NYPost,"Trump to Al Smith Dinner: ""We Will Not Stand for Any Attacks Against Judge Barrett's Faith"""
NWOz3OZ6J9M,ABCNews,Men arrested at Starbucks speak out
R85Z8jzK69o,WashingtonPost,Woman dies outside Ebola center after confusing diagnosis
TrP78FhNAf8,BBCNews,Moment protesters storm US Capitol Building - BBC News
CVb5nsx78io,CBSMornings,Family of baby who fell from grandfather's grasp on Royal Caribbean ship suing cruise line
VkQNyGbdE7c,FoxBusiness,Dallas real estate expert: We've never seen anything like this before
5MnNzKgy6Qg,CBSMornings,Trump continues to deny election loss
BxdtWnLLhk8,BBCNews,We are nowhere near where we need to be - Obama - BBC News
ra61QXn296s,BusinessInsider,There's a scientific reason why tomato juice is so good on planes
jLc18WKu9pU,DailyMail,Parkland shooter Nicholas Cruz appears with gun in hall
7KKJm6wm_FU,DailyMail,Former head of British forces Marshall Guthrie thrown from horse
9uC5BCX2W3A,DailyMail,'I want to do a great job': Jeremy Hunt on bid for leader of Conservative Party
iVf4uquOyXw,ABCNews,Teen Bullied into Plastic Surgery | Nightline | ABC News
Yevi4NBSjMU,Politico,Pro Financial Services Report: Preventing Third Party Cyberattacks
cKhMjn3Gms4,Politico,Tate Johnson's first RTCA dinner
Dq7Y6Lp30Sg,WashingtonPost,Police who botched Uvalde shooting response face few consequences | Visual Forensics
kUmXyBm9ksQ,Forbes,Obama vs. Romney: Bayonets Before Benghazi
9LykL14uXvc,USAToday,"Judge: Serve time, walk 30 miles or be pepper sprayed"
GP6BOV6_t14,MassLive,Inside view of boiling lava lake at Hawaii's Kilauea volcano
LjzH9HBLCRk,WashingtonTimes,Nationals' Fan Fest!
DU6BnuyjJqI,WashingtonPost,Trump's full speech declaring a national emergency for border wall funding
chIujHJHo78,CBSMornings,"Flea on his memoir, ""Acid For the Children"""
MV4lZM4AWBs,BloombergTelevision,"Merck CEO on Covid Pill Distribution, Vaccine Development"
ZfNt0qDDxyM,BloombergTelevision,CPI Preview | Bloomberg Surveillance 04/12/2023
Z0gzBdvAoO4,BusinessInsider,"How The Worldâs Oldest Bell Foundry Stayed In Business For Nearly 1,000 Years | Still Standing"
E-hDtNh0cFU,NYPost,'You Have to Stop It Early' â Texas Lt. Gov. Dan Patrick on How to Prevent Autonomous Zones
2qrBQvC1lfA,MassLive,Springfield murder defendant Davon Kelly-Griffin describes fatally shooting Rakishon Pedraza
FrrBT9P2CWA,Reuters,China's Wuhan reports first virus cluster since lifting of lockdown
0k8OoG-TYH8,TIME,COVID-19: Experts Weigh In On U.S. Meat Shortages | TIME
HChKr66Ujas,NYPost,"Watch: Lawmakers Burst out Laughing at Justin Trudeau Saying ""Responsible Leadership"""
xM5h16mA4WM,FoxNews,"Latest results from AL, GA, VA primaries"
3T7bhCwBop4,USAToday,Ivanka Trump introduces her father at RNC (FULL) | USA TODAY
sEHJrN-3y9I,FoxNews,"Hannity's message to media mob, Big Tech: Be careful what you wish for"
N2JU0Sb_8Pk,BusinessInsider,Why Megyn Kelly Left Fox News
_Ig6FbaDA8A,CBS,Biden rolls out major executive actions to combat the climate crisis
WoMjVsIE6BI,TheHill,Sen. Rand Paul spars with FBI Director over FISA abuses and Trump investigations
oe2KO2f0kek,USAToday,Man uses knife to fight off 525-pound attacking bear
jKH0_zT9l84,WSJ,Inside Delta's $2 Million Renovated Airplane Meal Kitchen | WSJ A to B
gxvWB6CZpvk,C-SPAN,Derek Chauvin Sentenced to 22.5 Years in Prison
q9CnMV6zecc,FoxNews,Kamala Harris fumbled this high-profile meeting: Sara Carter
tvhd8-XdtZY,CBS,Powerful winter storm targets eastern U.S.
sHzv95nCaa8,DailyMail,Antiques and cannabis: Police reveal inside Yeoman's Manor home - Daily Mail
FX9rP9FJKrM,BBCNews,Nations step up measures to fight Omicron Covid variant - BBC News
IQLQm2UvHcw,Politico,How 'Born in the U.S.A.' made Bruce Springsteen a political figure
ZZdcIiYEsw4,Forbes,Tinder To Add Premium Service In November | Forbes
KbitBCJ9uBU,BloombergTelevision,NRx and Israel Developing Covid-19 Vaccine to Attack Variants
LwYkeHQdG9A,USAToday,"Filibuster: What it is, how it could affect Biden's agenda in Senate  | Just the FAQs"
RbZO_nrj3yU,TheEpochTimes,Maltz: China Destabilizing US With Fentanyl | China in Focus | Trailer
-fUDIucr2eo,Vox,Comedians have figured out the trick to covering Trump
ffvyLdRrJU4,C-SPAN,"Promo: C-SPAN Convention Coverage Begins July 18, 2016"
QYXT8hEI8tM,Vox,Why NASA quarantined the Apollo 11 astronauts
iuyCWFcuAIY,LATimes,Bentley Continental GT Supersports 2010
3g3-cbuh4PQ,TheEpochTimes,CCP Hounds Czech Senator Kubera to Death Over Planned Visit to Taiwan | CCP Virus | COVID-19
ybyib5pAq7Y,Vox,How virtual reality tricks your brain
qy_EFQfylw8,WSJ,Route 66: America's Lost Highway Turns 90
pONvlzw1CD8,TheGuardian,Saudi Arabians in 'sidewalk skiing' car stunt craze
E89wigc6__k,CBSMornings,Yale incident latest in cops being called on law-abiding black people
2hv5x3txvjY,TheHill,"Sen. Bernie Sanders BLASTS the Walton family, owners of Walmart"
GpBgJXYq49E,TheEpochTimes,What Are the Costs When America Loses Its Religion?: Sam Sorbo | Trailer | Crossroads
_zwri3pWO2A,MassLive,"Donald Harty gives an victim impact statement on the murder of his father Thomas Harty,95"
ynF5BGONiyw,BloombergTelevision,One Year of War | Bloomberg Surveillance  02/24/2023
azwb7Zy1kKI,Forbes,How The Worldâs Most Productive Stoner Seth Rogen Found His Passion For Pottery | Forbes
-alCFVrKdzw,BBCNews,Bollywood star Deepika Padukone on overcoming depression - BBC News
CboludZQE58,TIME,Texas Father Charged In Murder Of 3-Year-Old Adopted Orphan Sherin Mathews | TIME
331_NqyfR3U,USAToday,This two-legged dog's wheels are cooler than yours! | Animalkind
08n55Wf2ifs,WashingtonTimes,"Morning Briefing (Sept. 28, 2009)"
p6XH-iRPraw,TheGuardian,Andy Murray wins Wimbledon final 2013 - Brick by Brick
KCCbbvAKxoc,DailyMail,George H.W. Bush breaks down crying during eulogy for wife - Daily Mail
IhUhf1TiC3A,TheGuardian,Sending Aya Back: the Syrian teen facing deportation in Denmark â documentary
YhBeaTxDmb0,TheEpochTimes,Fear | Schoolâs Out
V9sxSqxLPQQ,WashingtonPost,She gave the GOP millions this midterm season. Now she has the Presidential Medal of Freedom.
9DnqR_c92GE,FoxBusiness,Mike Rowe explains the struggles of producing salt
7ywLDb7QgGA,EastIdahoNews,"EastIdahoNews.com helps Secret Santa give away $100,000 by Christmas"
iCJtkFn1-jU,FoxNews,Kyle Rittenhouse reveals who he plans to sue
cPOvLIp7Krk,Reuters,Partisan tensions flare at House hearing on Barr
HXH6Zi3AM1c,LATimes,"For online chef Auntie Fee, the salt is in the language"
bw1gBjgzzVQ,BusinessInsider,Legendary Economist Gary Shilling Says The US Will Win The Trade War
Gr0qhz1z71U,TheEpochTimes,Trump 2020 Campaign Raises $30 Million In First Quarter
zApLQ2R9wM8,USAToday,"Waitress gets 'tip bombed' with $1,200"
GLofl_U1u-c,TheEpochTimes,Kimmel Down The Drain | Trailer | The Beau Show
JGikXrJ3ixU,WashingtonPost,This famous airport was badly damaged by Hurricane Irma
nNj89ohoYQ0,WSJ,American Epidemic: The Nation's Struggle With Opioid Addiction
kvDHuJ3FdRQ,Reuters,Lava cascades from Icelandic volcano
t8SEelq7s98,TheHill,"WATCH: Trump posts video saying he's paying a ""surprise visit"""
BGCzPeIiEyk,EastIdahoNews,"With Chad and Lori Daybell on the move, retired FBI agent explains what could happen next"
EFaxmdgxGp8,BloombergTelevision,Blackstone's Wien Says Oil Prices Will Rise for the Right Reasons
Yh77IH92HK0,ABCNews,Trump's Plane Lands in Washington D.C.
rYlgC1RKsJM,WSJ,The Best iPhone 6 Cases
QedbAxXWx_U,WashingtonTimes,EPA Administrator Scott Pruitt joins Mack on Politics
Co5awnyo3dw,NewsNation,Idaho Deaths: Police now say victims may not have been targeted | Morning in America
SZTYyFNSL5o,TIME,Robots Working In Elder Care | TIME
L5VHE0hGV6Y,TIME,Martin Luther King Jr. : Recreating An Icon in Virtual Reality | TIME
ozqz9Jtavjk,TheEpochTimes,60 Minutes: Bidenâs First TV Interview in Months | Trailer | Capitol Report
Bxg9oiZtXCk,FoxNews,Biden's 'Great MAGA King' jab blows up in his face
F_eq22USbqM,Reuters,Ice skaters rescued from Amsterdam's frozen canals
_6dk92m3mPE,ABCNews,Girl Who Fell From Ferris Wheel Speaks Out
lqLa3oFsT4M,DailyMail,Ukraine: Mass walk-out when Russian Minister Lavrov speaks at UN Human Rights Council
N9rzfJBBnpU,USAToday,Soldier's FaceTime call has the best ending | Militarykind
1bDm6WLPIcY,CNN,Kobe Bryant dies at age 41 in helicopter crash
0-XuZ1mKK2w,Forbes,How A Tool For Scientists Became A Billion-Dollar Opportunity | Forbes
F3F6ScecrM0,CNN,North Korea's Propaganda Machine
C0tjq0u2rDU,BBCNews,Tortoise eating a bird caught on camera - BBC News
Va9RSAQmaZE,LATimes,Oscar-winning Italian composer Ennio Morricone dies at 91
waOUNwZA4aQ,Vox,Why the US photographed its own WWII concentration camps
YZ6aMwrKvr4,DailyMail,Hilarious video shows police officer dancing during Brighton Pride
C_vmgiA1ojI,Forbes,What Is An Oligarch? Hereâs What You Need To Know About Russiaâs Billionaires  | Forbes
j3Nj7lXR_F0,BusinessInsider,Former SBS Operator Ant Middleton explains how to handle life after leaving the military
px1wXfvwK5g,BBCNews,"Killing of MP Sir David Amess was terrorist incident, police say - BBC News"
4IPl5at2xe4,BloombergTelevision,DOJ Opposes Release of Affidavit in Trump Search
AcZT3YZqkYs,TheGuardian,The Shia militias taking back Iraq from Isis
D5WpJufWxdg,BBCNews,Coronavirus in Africa: How might it spread? - BBC News
pgfFPVtLYCw,TheHill,Biden Tells Americans To Swallow HIGH PRICES For Ukraine War. Fed DEBUNKS 'Putin's Price Hike'?
iG1s5YTcP1s,TheHill,Panel: Clyburn floats cancelling debates to protect Joe Biden
LoQr-ET2ozI,TheEpochTimes,Dr. Fauciâs Net Worth Increases $5 Million During Pandemic; Government Shutdown Avoided | Trailer
KzK6FDwzTek,Forbes,Freddy's: The Burger Franchise Smashing The Competition | Forbes
uo0ffhMCJsc,Politico,Campaign Fundraising Deadline
B6ou5B8mNxo,BloombergTelevision,"Sweden, Finland to Join NATO by Fall, Stavridis Says"
5U5arsdJn28,Reuters,U.S. moves to cut off Huawei from chip suppliers
by4MzrVODeQ,FoxNews,Tucker: Trump refused to bow to intelligence agencies
adzSWKAOxsY,DailyMail,Roman Abramovich at Russia - Ukraine peace talks after poisoning news
RkB1Jr1bnR8,WSJ,Rescuers Pull People from Burning Odessa Building
s9iTX1xhRlA,USAToday,1795 time capsule found in Boston capitol
LzaqaaTdqXI,ABC7,Gabriel Fernandez' father: 'I should have been there' | ABC7
FAEHuzhb0kA,BloombergTelevision,'Bloomberg Surveillance: Early Edition' Full Show (10/08/2021)
milXH-433vs,CBS,CBS This Morning - Artist Chuck Close writes note to younger self
6LK6YNRgeFw,Forbes,Inside One Billionaireâs Plan To Bring Solar Power To Every Homeowner | Forbes
RSLOj9zlYH0,ABCNews,How Ryan Sheckler Went From Skateboarding Prodigy to Celebrity | Nightline |ABC News
Cijh3bdxwmE,Vox,Fox News keeps breaking its own rules
kx0En7fhfig,WashingtonPost,Hear from migrants stranded at the Turkey-Greece border
ZJYO11zw__U,BBCNews,Philippines election: Maverick Rodrigo Duterte wins presidency - BBC News
luGPxSOA1yY,ForbesBreakingNews,BREAKING NEWS: Lauren Boebert Introduces Articles Of Impeachment Against Biden On The House Floor
snd-TCdLDCg,NewsWeek,Lauren Graham's Guide to Hollywood-- video.newsweek.com
pnEH9byRiG8,BBCNews,My date with a robot - BBC News
02C-3YaiWt4,CBSMornings,Rise in COVID cases in kids
h3dCPWPKZgg,TIME,'No Way For A Person To Live': Sex Trafficking Victim Speaks Out After Her Rescue | TIME
zwTbETOXnOA,TIME,The Cast Of Broadway's 'Dear Evan Hansen' On Mental Health | TIME
UCQpb1kg0wo,DailyMail,BGT star Kathleen Jenkins sings just about wherever she can - Daily Mail
m-E3S_vEzsA,FoxNews,Tucker: Lawmakers are panicking over this
MF_b3M5Fb2Q,MassLive,Orioles' Adam Jones discusses racist taunting during Red Sox game at Fenway Park
qT-JKCKk7nM,LATimes,California Prop. 22: Gig economy | Election 2020
mz74L5-_ijo,BBCNews,Meet the Ethiopian man who walks on his hands - BBC News
k6PAvtkXzlg,TIME,Kim Jong Un Is Going On A Grand Tour Of Singapore Before Historic Summit With President Trump | TIME
PVMIS7Fxs7I,DailyMail,Bizarre Melania Trump statue unveiled close to her hometown in Slovenia
BGS53ZGFA1w,MassLive,"CRRC ""tops off"" East Springfield rail-car facility"
T175a9E3RA8,TheEpochTimes,The Road of the Nomadic Soul | Mythical Roads
2l4gnwxDk8I,USAToday,Packard Royal with PT boat engine
WKfVxoPO_Qc,Vox,"Iran's massive protests, explained in 4 minutes"
j4ahNpQLgdk,Vox,The hunt for Forrest Fenn's $2 million hidden treasure
vA2jT5uoprA,LATimes,Ball brothers still having fun at Chino Hills
m6yk-gOcYbQ,USAToday,"Macy's closing 125 stores, losing 2,000 jobs | USA TODAY"
Jr8q6gY1hSU,WSJ,You've Won the $1.5B Powerball. Who Should You Call?
fLFwau5_S_Y,WashingtonPost,"Lawmakers give emotional, 'raw' speeches on the Boulder shooting"
dH_GS4xDwX4,USAToday,Who would do this to a Lamborghini?
VkHQ9bCR1WM,TheEpochTimes,Migrant Worker Warns Wuhan Residents No Jobs
TeVNGGOs-DA,USAToday,Florida triple murder may have ties to witchcraft
3L3goFD8nwQ,CBSMornings,"Focus group of American Muslims talks politics, fear and faith"
XLyLvxzWYKE,FoxBusiness,Will Pelosi become president if there is no election result by January?
_GTuGj7zZr0,FoxBusiness,Ben Carson slams growing debate over reinstating mask mandates
mSU_Z6XY5NU,Reuters,'I'm not supposed to do that': Trump poses with worker at COVID-19 swab maker
kiBUIfe3BdE,Reuters,Allergic reactions prompt warning on UK vaccine
AyoToFux20w,WSJ,How Boeing and Airbus Could Counter Chinaâs Homegrown Comac Jets | WSJ
6k9vpxG20J0,NYPost,WATCH: Paul Pelosi Attack Footage
uaRXOuXapSc,USAToday,NCAA tournament: Grayson Allen's polarizing career comes to an end
G5GOh7yGyrE,BBCNews,Moment man tackles machete wielding robber
wc9uYnxvxZA,CBS,"El Chapo's son captured, then released during shootout in Mexico"
Wq1b74vp2is,Politico,Harris calls on Congress to renew assault weapons ban
gnk1Wqs_0-Y,BloombergTelevision,U.S. Government Document Projects Death Surge
J1VhlBdCByY,WSJ,Philippines Fights Islamic Militants in Marawi
plq0YGZrPAk,USAToday,Mom's whistle stops Sailor in his tracks | Militarykind
I5iewcBt4RI,USAToday,24 Hours in the ER: Health care's front lines
5sGnkP201Eg,C-SPAN,C-SPAN Cities Tour - Jackson: Medgar Evers Historic House
rQNvm3ts0UE,Reuters,U.S. Supremer Court overturns NJ 'Bridgegate' convictions
aCyubRGlNdY,TheHill,Krystal and Saagar: Russiagate Fanatic Eric Swalwell CAUGHT Associating With Chinese Spy
EKPFZPyQurA,Vox,Should we reflect sunlight to cool the planet?
02sQw-3Y8iQ,DailyMail,Portland protest: Right-wing groups clash with BLM protesters
zPwhmj2l3LM,DailyMail,Kate Middleton visits Leeds market and shoppers go crazy
eSXlfPLQxZE,CBS,Tax attorney breaks down New York Times report on Trump's tax returns
yPMzWaaMX1g,Vox,The Taliban hostages youâve never heard of
GFC8c89mDrQ,Forbes,The Red Flags On FTX We All Seemed To Miss | Forbes
RWz7az39ArE,BloombergTelevision,Screen Actors Guild to Go On Strike
645cNMYN2mU,WashingtonPost,The time Trump landed his helicopter at center field and threw out a first pitch
cgYHbIEZWW8,TIME,FBI Admits It Failed To Investigate Tip About Accused Florida School Shooter In January | TIME
-7opk9Yum8Q,Forbes,700 Beers A Year: The Endless Tinkering of Sam Adams | Forbes
BsFFe0mkQzo,FoxNews,Adam Carolla: This is what my Hollywood friends won't tolerate
dsd9jTX4_Dc,TheHill,"Sen. Ted Cruz BLOCKS Schumer's amendment honoring Ruth Bader Ginsburg over language on ""dying wish"""
L8fa46wY058,LATimes,Megan Joy's Idol Confessions
SljrHOsbKcM,Vox,Fixing the debates: a better way to interrupt
3wbrJjx0S7c,BBCNews,Tougher Covid rules in England as Boris Johnson faces resignation calls over Xmas party - BBC News
Jmcb80BgvQ8,FoxBusiness,Upstate NY county clerks refuse to give driver's licenses to illegal immigrants
YQ02LPOK8U8,WSJ,Rammed-Earth Construction Gets Luxury Makeover
4V6bMT9M1mk,Reuters,"Biden, Trudeau pledge unity against authoritarians"
izvhPaiQ5Xk,NYPost,Charlie Kirk: Leftists Want to Destroy Western Civilization
evOwVM6NAh4,WSJ,Can a 3-D Printed Rocket Compete With SpaceX? | WSJ
S5AcOsX-bM4,WSJ,Michael Jackson's Home Sells for $18.1 Million
JpNESO7vFhk,ABC7,Massive earthquake rocks Turkey
_1xgQGI5-5E,DailyMail,Iskra Lawrence joins Yoga summer solstice celebration in Times Square
Ed25xirq5-8,Reuters,Ukrainian troops patrol Donetsk frontline trenches
QrtpDxtLRVk,Politico,"Officer Dunn says Jan. 6 rioters used N-word against him, others"
viREFHqefaI,MassLive,Massachusetts Maritime Marching Band performs Dropkick Murphys 'I'm Shipping Up to Boston'
STELRqxiEkE,BBCNews,Moscow doesn't want war with Ukraine says Russia's foreign minister - BBC News
2XBBuvQ8U1w,Forbes,Using Drones To Explore The Ocean Floor | Forbes
TZKHQUXd6mA,ABCNews,What happened to Shanquella Robinson? l Nightline
HgNGe8XMHJo,TheHill,"JUST IN: Kamala Harris SLAMS confirmation of Amy Coney Barrett to Supreme Court: ""I voted NO"""
bLXWyVes27o,EastIdahoNews,Daybell change of venue hearing part 1
aE3omXe_LhA,BloombergTelevision,Wall Street Week - Full Show 04/29/2022
BnNbZmE3beA,BloombergTelevision,"BlackRock CEO Larry Fink on Inflation, ESG Investing"
afhdJj7miQg,WashingtonPost,La Palma volcano roars back to life after brief pause
8dTelszbObM,BBCNews,Coronavirus: First death outside China reported in Philippines - BBC News
jFUVZDPrB7U,BusinessInsider,The Metaverse Explained â And What Comes Next | Insider Business
dR-s5kv73fE,LATimes,Kobe Bryant on Lakers' struggles
4deWzSecDP8,WSJ,"Who Is Ketanji Brown Jackson, Biden's Supreme Court Pick? | WSJ"
RLLcTtMN33c,FoxBusiness,"Jim Jordan sounds off on Swalwell, Biden: Why won't press cover it?"
oDBwNvZrqPc,TIME,Meghan Markle Referenced Her Wedding Dress During A Royal Appearance | TIME
0kvkFiWzbnM,TIME,Italian Airline Apologizes For Promotional Video With Actor Playing Barack Obama In Blackface | TIME
vz8HUx4Wwx4,ABCNews,ASPCA: HOVERCAT
NzUkzRq_XZY,LATimes,The 1971 Sylmar earthquake profoundly affected how California responded to such risks
VaMHy16DrHI,WSJ,New Delhi's Pocket of Luxury
pMqcoCOlHj0,DailyMail,Funny moment Biden barked at by Irish president's massive dog
PqlH4pK7eHY,ABCNews,Mother Ejected from Water Park for Skimpy Swimsuit; Madelyn Sheaffer Kicked Out by Adventure Oasis
dqycTX3mi6U,USAToday,"14 children, one teacher killed in Texas elementary school mass shooting | USA TODAY"
Bv-6oSHLxr4,Forbes,Style For Hire: Road Testing Stacy London's New Venture
tgnzzf6jn-w,FoxNews,Biden's comment on black voters leaves 'The Five' speechless
fYklzp9Kuro,Reuters,Woman survives being buried for 104 hours after Turkey earthquake
cRZzHsRD7Yg,Reuters,Putin tells Finland joining NATO would be a mistake
-V7dqHW0oXk,BBCNews,Pakistan: Rape victim's plea after gang rape filmed - BBC News
Qkg2AZifR-8,LATimes,"Jimmy Fallon plays Donald Trump, with help from Obama"
3sdowVaXrts,WashingtonTimes,Troops get a big homecoming cheer at the airport
dmG8F2cT9oM,TIME,See Barack And Michelle Obama's Official Portraits Revealed At The National Portrait Gallery | TIME
dTo6XJypCpw,MassLive,Holyoke Fire Department video of New Year's Day 2017 fire at 106 North East St. apartment block
aWvS-8qBIzE,ABCNews,Louis C.K. performs first stand-up comedy set since admitting to sexual misconduct
ZtUMDiOWvtA,TIME,Australian Man Who Dared To Swallow A Slug Has Died After A Rare 8-Year Illness | TIME
ED44udV-_tQ,NYPost,McEnany: Trumpâs âVisionâ for America âNot a Culture Warâ Like Media âFalsely Proclaimâ
U5Ncbs-bE8Q,BusinessInsider,The Rise And Fall Of The Cruise Industry | Rise And Fall
NMhPnK8b9V8,TheEpochTimes,"As a true friend, Taiwan always stands ready to lend a helping hand | The Epoch Times"
vRZUb1Tldr8,MassLive,Is Gronk the worst Madden player ever? Watch him blow a 75-yard TD reception using himself
JNiiCr9GCUQ,DailyMail,Rishi Sunak refuses to bow to pressure on pay in NHS nurse strike
CPt0TXtWhL0,FoxNews,Huckabee: Biden canât sway his party
V1Qzp8skD4s,DailyMail,Boris Johnson criticises Britons for failure to self-isolate
CF7a76CnzHE,MassLive,Rihanna named Harvard University's Humanitarian of the Year
SaE2vPbYcyQ,CBS,Doctor on spread of highly contagious COVID-19 variant in U.S.
NyBpI_uB_eI,WashingtonTimes,"Morning Briefing, March 25"
S47r8nr1gXw,TheHill,"U.S. Role In Assassination Of Haitian President Coming Into Focus, Colombians Reportedly Involved"
5_tvIK-GTKA,CBS,"""Surviving R. Kelly"" producer responds to the singer's explosive interview with CBS News"
bsFXgfbj8Bc,WSJ,Can Bing and OpenAI Challenge Google? Microsoft's Satya Nadella Weighs In (Exclusive) | WSJ
uO9hXpoh0SI,USAToday,"'Saturday Night Live' honors DMX, takes jabs at Chauvin trial | USA TODAY"
