Unnamed: 0,video_id,channel_name,video_title
8932,GFNJWELLIvs,WANE15News,Driver's leg amputated at crash scene
4745,hqS-NThzev4,WSOCTV9-Charlotte,"Lawsuit alleges NC House Speaker had affair, sex with people seeking political favor | WSOC-TV"
7339,HawX-bKpleM,KSAT12Texas,Video: Natural ways to treat thyroid disease
4864,Mwqg8LHsm5c,WMUR-TV,Former officer sentenced to jail for assault
2902,FPeY1O0QoWM,HowToGeek,How to Sign Out YouTube Account from Other Devices !
2517,d2vROAt2NiM,BuffaloNews,Viewers furious with Walmart shoppers not wearing face masks
11652,O6nnEYamWw4,FOX8NewsCleveland,Columbine survivor shares her emotional story
15205,XbM-2iR58B0,incMagazine,The Silent Treatment; Why The Best Leaders Say Nothing | Inc.
2364,oSEYfs1V1JY,ThePost-Standard,See how a manure lagoon works and why farmers want to build even more of them
13443,kn5gplyiq_g,WestVirginiaPublicBroadcasting,"Finding David Riffle, West Virginia Artist â Documentary"
764,nYC4Q-0wcAc,CNET,The Ocean Cleanup launches to the Great Pacific Garbage Patch
974,KJLIcGgR21s,ForeignPolicy,China is a year behind the US on AI | FP Live
5868,78SHpibEEks,WSAZ,"Missing boy found deceased, new details released"
11051,Da1ADqPplQ4,WLWT-Cincinnati,Cincinnati's Masked Super Hero: Part 1
8945,Fpn64bjCud8,WANE15News,St. Mary's Church Fire
13856,I8UuNTai-_o,WHIO,Mother of Rebekah Kinner talks; calls daughter a liar
12752,sEwFYmA_llU,WISN12News,Convicted Murderer Fights Deputies At Sentencing 2010
5754,J5mkJbhq7DA,SunSentinel,Sun Sentinel Editorial Board endorsement interview for Lauderhill Mayor
8059,gtXc4QZUlis,NewsOn6KOTV,"Sperry Wins Against Vinita, 23-14"
10397,2ZnYV8e8y4s,CBSPhilly,Young Phillies Fan Goes Viral After Giving Foul Ball To Crying Girl
13108,AFIfLA0LmbM,FOX10Phoenix,RAW: Jodi Arias full interview footage
6531,wiSGiplQ6Gs,FOX2Detroit,Detroit cops flee from drive-by shooting happening in front of them
10801,pY9A5EyCusE,WGNNews,"SNL's Melissa VillaseÃ±or's amazing celebrity impressions of J. Lo, more"
9321,Zk9BQPG9wlQ,WCPO-Cincinnati,World Arm Wrestling Championship: Lanny Julian Jr. trains to be the best
1392,HchyqPO8K0I,HarvardBusinessReview,When Will We Reach Gender Equality?
9520,FJGxlMBhKR4,Justia,Violencia Familiar (2023) l Conoce Tus Derechos l Justia MÃ©xico
11043,0WYwrGM-784,WLWT-Cincinnati,Killer Speaks To Judge Before Sentencing
5622,DB9dAo8XBGU,WCAX-Burlington,Catch of the Day: Vt. angler hooks an 'ugly fish'
12616,I_IBMGnASqY,MadisonNews,VIEWER VIDEO:  University Avenue Flooding
980,EZA5Dq7qknk,ForeignPolicy,Former NATO Secretary-General: We Overestimated Russiaâs Military Strength | FP Live
11067,wBJ4Sgd_qus,WLWT-Cincinnati,Colerain officials looking for family of child found walking alone
11495,mM6HkJDydK4,KCRA3,Fifteen homeless women graduate from job readiness program in Sacramento
5637,_ecZmVYtYHE,WCAX-Burlington,Cleanup begins in Barre as residents brace for more rain
113,4JWw8cTEN14,KTVUFOX2SanFrancisco,RAW VIDEO: Donald Trump supporter walks through angry crowd of protesters
4747,OythgonEZIM,WSOCTV9-Charlotte,Police investigating shooting into Lyft SUV on I-85 in north Charlotte | WSOC-TV
5768,gLjYStb4c8k,SunSentinel,WEB PKG fl sikorsky helicopter video4
11269,Lb_G7Yr1BbI,DesMoinesRegister,Full speech: Andrew Yang | Iowa Democratsâ Hall of Fame event (11/19)
12895,5o0wsSfPDEA,KARE11,TRACKER: Hurricane Lee approaching United States
12902,23_4vwsFdGY,KARE11,"Land of 10,000 Stories:  11-year-old Wis. boy, Jonah Larson, is crocheting prodigy"
14824,q6ipzd3XcFM,KSDKNewsMO,Sullivan woman charged in Capitol riot arrested for DUI after fatal crash
3511,cCM6sx82ePc,9NEWS,Police prepare for large crowds in Boulder for Rocky Mountain Showdown
5221,9VvRlq_en8c,KHOU11Houston,California bikers escort bullied special needs teen to school
6233,n3EdhGjd8E0,ABC15Arizona,Chihuahua Dog Gang Runs Wild in Neighborhood
13870,FOKu8Tjxf6M,WHIO,"""Rise Up"" | A Special News Center 7 Music Video"
6117,Fml9uCDSYfM,WDIV-ClickOnDetroit,Two women sentenced in shooting death of Garden City H.S. student
11261,hkn-py6yjl0,DesMoinesRegister,Father-son wrestling dream
8345,f1qITlO6g6E,UnitedStatesCourts,Knowledge Seminar: The Art and Science of Pretrial and Probation Supervision
15076,rKMBZ16o048,ABC7NY,Stenography students battle for title of fastest fingers
1136,2_XH_-4L2i4,COURTTV,And Murder Makes Three - Someone They Knew with Tamron Hall
1833,c4Vnw34BHWk,Gallup,Gallup Access Platform Demo
7273,pfpy-zP5ddo,Ballotpedia,Lucia v. SEC Case Overview
4969,tFkD3mdgUv0,FOX5Atlanta,Torrential rains lead to flooding in Atlanta | FOX 5 News
12274,XOw4aTWm-BE,NEWS9OklahomaCity,Police Chase Ends In NW Oklahoma City
12636,NSUIogFGxUY,MadisonNews,Suspect in downtown attack on UW-Madison student arrested
12001,qQ24jmIHIUk,Biography,Fidel Castro - Military Leader & President | Mini Bio | BIO
9688,8hDAIMBDXxw,MarketBeat,"UPS Delivers a Message to the Market, Economy"
5498,4eIDBV4Mpek,BigThink,How Apple and Nike have branded your brain | Your Brain on Money | Big Think
9515,uNr2ipzA1L8,Justia,ParticipaciÃ³n de los Trabajadores en las Utilidades PTU (2023) l Conoce Tus Derechos l Justia MÃ©xico
13114,Fho_9zlWsSM,FOX10Phoenix,Man shoots at SWAT vehicles during standoff: PD
14305,q4qdb11zHOU,WKYC-Cleveland,VIDEO | Princess Kate Middleton visits Harvard University
5227,e7VUBJdyw2k,KHOU11Houston,Raw: Fatal shooting caught on video in south Houston
2917,3aI7Om7RZyU,HowToGeek,How to Add View Shop Button on Instagram !
4623,M7t9O3CzcZA,FactCheck,FactChecking the Las Vegas Democratic Debate
10539,Ujmg7oJ7iC8,WFMZ-Allentown,69 News morning NETCAST for 8/25/23
4404,fZmTkFU3MSA,WESH-Orlando,Amateur Video Captures Fiery Plane Crash
9509,wZIxlhs0Twg,Justia,Using ChatGPT for Law Firm Marketing Content
3117,ozVQZFNui0w,Fox32Chicago,"Chicago's most violent weekend of 2021: More than 90 shot, 16 killed"
9697,ntF2JSyRoEs,MarketBeat,"FOMC: Skips Rate Hike,  Says More Are Coming in 2023"
13230,Epa9b1Btnts,IndyStar,"Colton Herta crash ends upside down, destroys car in last Indy 500 practice before race"
2129,F-McIz0zlTo,WGAL-Lancaster,News conference: Escaped killer Danelo Cavalcante captured
8162,jgNn6rfByAM,FOX35Orlando,Man goes viral after video shows him singing at Disney's Grand Floridian resort
1850,2ngBVUgnFMo,Gallup,"Life at Gallup - Episode 2 with Business Solutions Consultant, Justin"
11062,gx1v_KtO4Y0,WLWT-Cincinnati,"Bright, blinding headlights: Are they legal?"
857,m2F0Nf8cYVI,KCRG-TV9,Aerials: BNSF Train Derailment & Fire
4166,v43D4wwyYqs,PIX11News,Rikers crisis: NYT reporter explains what's going on at infamous jail complex
12517,VQIjHT9Q13Y,Investopedia,Investopedia Video: ISDA Master Agreement
1911,dt7rxczzMSE,WFAA-Dallas,Watch the moment a massive 100-vehicle pileup crash happened in Fort Worth
1116,Y9kfaOmNQGk,COURTTV,Court sees surveillance video from Johnny Depp's apartments | COURT TV
4493,LVAr3bUql34,KPRC2Click2Houston,19-year-old saves child from dog attack
11351,2wnOpDWSbyw,LibraryofCongress,"Edison Kinetoscopic Record of a Sneeze, Jan. 7, 1894"
14844,khKxzTjoiD8,KSDKNewsMO,Seattle Police Department lip sync video
3767,EVQZxM4YtHA,WashingtonTopNews,Phelps Phood: Breakfast of Champions
13649,S5otvDL19l8,FOX6NewsMilwaukee,Wisconsin Senate rejects Meagan Wolfe as top elections official | FOX6 News Milwaukee
5870,T-_J0_N3wOI,WSAZ,Former Chapmanville officer and K-9 handler arrested in Georgia
12145,63pdxwbgclg,KGWNews,Protester arrested for assault at city hall
8595,dYuc5zDDl8E,AssociatedPress,Victoria's Secrets Models' Beauty Secrets
630,i9cgbp1r68o,AudacyMusic,Sara Evans: Itâs Time For Straight Talk
10293,h6j1uUc8F9o,FOX11LosAngeles,Elderly Chinatown smoke shop worker thrown to ground by alleged robber
14061,SMajfjLxRuA,WKMGNews6ClickOrlando,"Florida woman loses $2,000 in âspouse spoofingâ phone call. Hereâs what to know"
1380,jzqOLoorgOs,HarvardBusinessReview,38 Smart Questions to Ask in a Job Interview: The Harvard Business Review Guide
8071,SCLXlJq6WIY,NewsOn6KOTV,Oklahoma Cowboys Return To Normal Life After 'Amazing Race'
14969,LLIbbsNIyMM,Tennessean,Witnesses discuss the details of Edmund Zagorski's execution
6643,CF7a76CnzHE,MassLive,Rihanna named Harvard University's Humanitarian of the Year
5351,gsmeagaBtbA,KETV,Lincoln man accused of multiple sex crimes now facing first-degree sexual assault charges
623,FX4rrCFov2I,AudacyMusic,"BTS (ë°©íìëë¨) EXCLUSIVE: Army means ""everything,"" ""home,"" and..."
4752,JapEu72PtOg,WSOCTV9-Charlotte,Woman shot by CMPD officer after she tried to run him over will face charges | WSOC-TV
8455,NhHmgoKlzZU,FOX5NewYork,Rapper Gunna indicted on racketeering charges
6515,pKf99-zHBzY,FOX2Detroit,"Police pull 17-year-old from car, points gun at teens after stopping them for speeding"
5,hvZwCHFgLzA,MilitaryTimes,"See tanks destroyed, soldiers dodge airstrikes in harrowing footage"
7599,u-Q0o3dYZec,ABC7LA,"Worker shoved, punched in face during violent robbery at Chinatown boutique"
10188,mbC1lR3bYYA,News5Cleveland,Police identify suspect in deaths of father and daughter found in burning car in East Cleveland
1585,6sjdUjoZ9O4,CountryLiving,"6 Style Secrets from HGTV's ""Fixer Upper"" | Country Living"
9315,sxULvlzNvPU,WCPO-Cincinnati,A look inside the 'portal to hell'
9524,rT22nDtnbwE,Justia,Researching Competitors Link 1 | Advanced Citation and Link Building for SEO Part 1 of 5
2639,CIVCsfYek5E,FOX4Dallas-FortWorth,On Your Side: Samsung phone fire
2916,KrFxI_8KkII,HowToGeek,How to Fix Outlook Login Error Mobile | unable to login in Outlook App
11991,mgygN6Nfpyw,Biography,Ferdinand Porsche: Driven To Perfection | Full Documentary | Biography
3096,N84wj5CHNFg,Fox32Chicago,Video shows Chicago police trade gunfire with suspect in Pilsen
9463,Q2VV-np9nZ4,Militarycom,Mag Dump
1845,w564pGCISak,Gallup,Gallup: The Leading Analytics Firm Since 1935
7326,5wpGZHWJ6PI,KSAT12Texas,"Suspect shot, injured after chase with police ends at Walmart store"
2372,0wlRCb9KHUE,ThePost-Standard,Ryan McMahonâs Micron video
10199,LLX1zKWppsI,News5Cleveland,RAW: Richland County Jail video shows critical moments before Alexander Riosâs death
14570,Q4XP5arNG6c,WCVB-Boston,âHow can somebody do this?â Horses rescued from manure piles in âworst everâ abuse case
1139,95FtlgSeuKM,COURTTV,Who is Jennifer Howell? Depp Team Announces New Witness
2498,NOoqx5U0OY4,BuffaloNews,I-TEAM: Video shows jail guard violating inmate's civil rights
14072,4b3yacLrFpA,WKMGNews6ClickOrlando,Report: Overdose deaths decrease in Central Florida
11870,dOaEZkphSVs,MentalFloss,83 Old Slang Phrases We Should Bring Back - mental_floss on YouTube (Ep.208)
3768,OUh9soR_B0k,WashingtonTopNews,Flash mob - Ashby Ponds
9711,G3CdNgI3F1I,MarketBeat,3M | Ready for a Rebound
10412,4IxNJquRRc0,CBSPhilly,Chester Township Family Suing After Being Arrested For Loitering Outside Of Their Home
7155,5h-jFzQFMLw,WTAE-TVPittsburgh,Raw Interview Of Blogger Who Got 300-Page iPhone Bill
13660,33J4yOAoGcI,FOX6NewsMilwaukee,"Nashville school shooting: 3 students, 3 adults killed, police say | FOX6 News Milwaukee"
9192,eyD7Mjr9lRw,KSTP5TwinCities,Minnesota made foods to buy in the grocery store
14820,NC-2u8OeSXw,KSDKNewsMO,"'I'm sorry, I'm nervous' | Missouri woman seen inside Capitol during riot has initial court hearing"
9796,J1yxUyY5AJA,WFSB-Hartford,United Auto Workers Union strike could affect state economy
12257,TzOSzv1rx-k,NEWS9OklahomaCity,"Mid-Del Public Schools Lays Out Plans For Half Billion Dollar Bond, If Approved"
2133,CGvQ1oqcHJ8,WGAL-Lancaster,Tractor-trailer hauling milk crashes into Susquehanna River
14689,EayztZuIL-I,CincinnatiEnquirer,Cincinnati Zoo hippo keepers prepped for birth of Bibi's second calf with motherly instinct
13123,VNVhLhq3CEQ,FOX10Phoenix,Chinese balloon shot down over Atlantic Ocean
14556,6dD1S03ce0Q,WCVB-Boston,Gorgeous Cape Cod sunset ahead of Hurricane Lee
1513,BW6q4XUn9VI,Pew,Estimating Europe's unauthorized immigrant population
2636,FB71oyxlSgY,FOX4Dallas-FortWorth,Whataburger brawl VIDEO RELEASED involving the Sheriff and his brother Bobby Brown
15074,MJ5sACcdsKU,ABC7NY,Putin puts nuclear forces on high alert as Russian troops bombard Ukrainian capital
619,hbd2wWE8KgI,AudacyMusic,Governors Ball - Tai Verdes
2041,lkYF9PB914A,ZDNET,Ready to run Linux on Windows 10? Hereâs how
5751,jNt-GTCGyu8,SunSentinel,"Just a Click Away, Flakka Can Be 'Shipped from China Right to Your Doorstep'"
11635,rmvMzFGFAww,FOX8NewsCleveland,Judge orders suspect to have mouth taped during sentencing
1501,dkpHOwAxJkc,Pew,The Lost Decade of the Middle Class
11255,jVbMwcrO9uY,DesMoinesRegister,Mike Franken concedes in Iowa's US Senate race after losing to Chuck Grassley
10799,Fjl5DmBGB38,WGNNews,Illinois middle school wrestler sucker-punched by opponent after loss in viral video
852,xwXx46RMp3c,KCRG-TV9,Dubuque heavily impacted from Canadian wildfire smoke
122,LgaU1h0QiLo,KTVUFOX2SanFrancisco,"LISTEN: âBBQ Becky's"" viral 911 call made public"
14950,4ILjuLnx9iI,Tennessean,George Jones' widow remembers his last words
9705,lFlcYu_8gtM,MarketBeat,Opportunity Strikes for these High-Yield Values
9209,XGGSDTkIVgE,KSTP5TwinCities,Edina Man Witnesses Watertown Shootout with Bombing Suspect
11636,e0NPR0hPpOw,FOX8NewsCleveland,Watch what happens: Dog vs intruder
12510,TeHmx3H54jo,Investopedia,Investopedia Video: Stop Order vs Limit Order
13861,kJUCicz2KRo,WHIO,RNC Song on The Late Show with Stephen Colbert
1372,aDMtx5ivKK0,HarvardBusinessReview,The Art of Active Listening | The Harvard Business Review Guide
3397,hocH7XwbrH4,WTHR-Indianapolis,Judge in Delphi case doesn't feel safe
6215,Hbh2qXBMjuY,ABC15Arizona,Presidential Debate - DT: Bc you'd be in jail! - Hillary Clinton vs. Donald Trump
9531,5ddOnKUDxEE,Justia,AdopciÃ³n (2023) l Conoce Tus Derechos l Justia MÃ©xico
7469,X9u-xUrR9pA,Benzinga,How to Use The Benzinga Pro Screener
14422,cbSjIdQMUkE,NewsNation,Bronx daycare owner charged with murder over child's suspected opioid death | NewsNation Prime
9184,Yeoyou8tLk0,KSTP5TwinCities,"Accident in Pierce County Wis. Leaves 2 Dead, Many Questions"
2381,9gYFq9zOoD8,ThePost-Standard,Watch real lava poured at Syracuse University
8055,1bd-7rYDENE,NewsOn6KOTV,Teens Huffing Freon To Get High
1601,CsjCcY74GVM,CountryLiving,10 Most Beautiful Places in Texas | Country Living
10290,2u3HXXyDB3Y,FOX11LosAngeles,Street vendors equipment impounded in Fullerton
8330,FJsQjVHe6AQ,UnitedStatesCourts,Court Interpreting Demonstration
12004,Hu-uRpr8sLI,Biography,Michael Jordan - Basketball Player | Mini Bio | BIO
4411,WZoTBbf-keM,WESH-Orlando,"Potential Casey Juror Fined, Found In Contempt"
2903,pD4nZsAeMC0,HowToGeek,How to Delete Card info from Netflix | Change Payment Method
11866,D3x-lsqynRI,MentalFloss,6 Hoaxes People Actually Believed
9450,cNEGfU-I9Wg,Militarycom,10: Meet the First Mom with a Ranger Tab
3098,vOZaQw7N0-8,Fox32Chicago,Hundreds of Chicago cops expected to dare Mayor Lightfoot to place them on 'no pay' status
5203,Kb5As8k5L_M,KHOU11Houston,Watch robbery suspect pray after getting locked in store
13,tcvRGGTjtyQ,MilitaryTimes,DoD review of sexual assault at academies calls for reform
618,0L5knaQe2Xo,AudacyMusic,CMA Fest 2023: Priscilla Block
12890,NjKjaCvXdf4,KARE11,RAW: Released George Floyd body cam footage from former officers Thomas Lane and J. Alexander Kueng
8814,4LRdayoTmjw,WYFF-Greenville,"Video released of explosion, suspect vehicle at Georgia Guidestones"
7605,Omwby1YDSIc,ABC7LA,Group of 5 women pull off heist at OC market
8306,caB4-sa63Xs,TechSpot,Apple iPad mini with Retina Display Review
3102,doYZyKdChKk,Fox32Chicago,Trump maintains big lead on GOP field in new poll
15319,S_mPlP1gJNU,PRNewswire,Meet the Media with Steve Hermann of the BBC Online
5104,aLbhNgMnuXY,KING5Seattle,"Missing Mount Vernon boy found in Vietnam, flown back to US"
2265,4z_B-t9CGHk,VoiceofAmerica,155 Migrants Jump Fence From Morocco to Spain | VOANews
6518,Hu8pu3Gl5aQ,FOX2Detroit,Sebastian Bach's daughter is the cutest
374,IcouwS7v0EA,MLiveMediaGroup,"Cannabis Industry Insights - March 11th, 2021"
4503,zbcp0f5I6lA,KPRC2Click2Houston,Vet padlocks trump sign to front lawn
5858,j5UUj_HPvdM,WSAZ,WVSP trooper dies after ambush-type shooting in Mingo County
3104,k32MwvQwE-c,Fox32Chicago,Lincoln Park Zoo celebrates 'Oksoberfest' this weekend
6217,1dZx2flYgTA,ABC15Arizona,Surveillance video shows 7-Eleven clerk shoot suspect during attempted robbery
11989,AG84I-e3PiM,Biography,Eva Braun: Hitler's Mistress & Later Wife | Full Documentary | Biography
7018,bDIXvpjnRws,C-SPAN,C-SPAN: Buzz Aldrin Reveals Existence of Monolith on Mars Moon
379,pUgm9ESZU2Y,MLiveMediaGroup,Campaign Budget Optimization
13246,S51k7m6XxUA,IndyStar,'He's an absolute idiot'   Grosjean on Rossi's actions during Mid Ohio IndyCar race
14073,sjFNQUm3sPI,WKMGNews6ClickOrlando,"Owners of Kaya mix fun, fine dining and traditional Filipino meals"
14702,ckZTdDuGCDU,CincinnatiEnquirer,"Garth Brooks: 'That's the thing with Cincinnati, you get the best of all worlds'"
15064,MdY5KCon_Ho,ABC7NY,Workers at 3 major US automakers go on strike
3507,8Oc8XK7jBCg,9NEWS,Gardening tips: How to take care of plants as cooler temperatures start
9533,ujf6Md3r8eo,Justia,Display of the Google Search Engine Results | SEO in 2022 and What to Expect in 2023 Part 5 of 7
14832,aFDQiatrlkw,KSDKNewsMO,"New marketplace in Dellwood to host education, career training"
13433,_6G_T3Regdk,WestVirginiaPublicBroadcasting,"3 Rivers:The Bluestone, Gauley and New"
11872,LeA5yPI4MRs,MentalFloss,25 Things You Might Not Know about Harry Potter - mental_floss List Show (Ep. 230)
12513,zIcB9bVR5l8,Investopedia,Investopedia Video: Fat Cat CEOs
10557,gDhlyNGQ_zM,WFMZ-Allentown,Police catch credit card thief with app alerts
6219,nvHlBaWs8Ko,ABC15Arizona,Super lice sweeping through schools in the North Valley
1597,qE0ETW8Ll2I,CountryLiving,Cranberry Moscow Mule | Country Living
12264,nmIku5Fo5qA,NEWS9OklahomaCity,WATCH: Pursuit In SE Oklahoma City
7592,pXHiBX3pYEE,ABC7LA,"Alabama police rescue kidnapped woman from cage in van, use Taser on suspect I ABC7"
11057,6d4ROLw3xIU,WLWT-Cincinnati,Murdered Teen Tried to Get Help
1716,iXt8O7LCmao,TheOregonian,Full press conference on LaVoy Finicum's death investigation
13859,KSLUKIBj7Pg,WHIO,Raw: Fellow trucker checks on driver after load shift causes crash
12496,eoAR8ZyAyoc,Investopedia,Investopedia Video: How To Calculate Return On Investment (ROI)
14961,LSiU8rPTma8,Tennessean,Nashville mayoral candidates discuss  tourism and the needs of residents on June 22 | Tennessean
3094,U6xlvHM6jYY,Fox32Chicago,Chicago black belt takes down man who allegedly punched 7-Eleven clerk
9708,Msyz5hpaVlY,MarketBeat,EV Penny Stocks: Risk and Reward Plays
13439,v_RM5ePIFsk,WestVirginiaPublicBroadcasting,In Tune: A Community of Musicians
1373,FbtHJm8vFpE,HarvardBusinessReview,How to Disagree with Someone More Powerful: The Harvard Business Review Guide
7470,HudhBv9Onf0,Benzinga,10 Top SPAC Stocks 2021 | SPACs Attack
11864,BHUAlzwG0r4,MentalFloss,The Roller Coaster's Thrilling History
11646,0rDNAHewcyE,FOX8NewsCleveland,'Cleveland is out of this world' when it comes to supporting mission of St Jude Children's Research
8584,rRIrs8hQNv0,AssociatedPress,Raw: Tourists Brave Glass-Bottom Bridge
6873,YWFOr557uzc,AtlasObscura,Baker Miller Pink | 100 Wonders | Atlas Obscura
14420,ynD4UnghZXs,NewsNation,"LGBTQ+ flags banned in Detroit suburb, two California school districts | Morning in America"
9466,0TquEqK2vlI,Militarycom,Battlefield 101: Counterinsurgency Tactics
10547,E5ep1yt4QDE,WFMZ-Allentown,How It's Made: Peeps
7150,WhSWsNP-3ME,WTAE-TVPittsburgh,"Myron Cope Does The Macarena ... Yoi, Steeler Mania!"
6232,htfepfB5npU,ABC15Arizona,'I want to clear my name': Woman speaks out after being falsely accused by Scottsdale police
1849,1recUMMA_Q0,Gallup,Developing Talent to Succeed at Ameritas   Gallup
12760,gdnxhu5Q6aM,WISN12News,PPWI abortions resume Monday
10926,7DBkY2ilCwg,WSB-Atlanta,Man in jail practices suicide unnoticed before killing himself | WSB-TV
9528,HKQrxBD453I,Justia,SEO Resources | Law Firm Content for SEO Part 4 of 10
10550,ZJw_bsvv9H4,WFMZ-Allentown,"Oversized vehicle brings down poles, wires"
4853,fRMKj8xywwE,WMUR-TV,"RFK Jr. says he is pro-choice, calls every abortion âa tragedyâ | Conversation with the Candidate"
14692,VRsSSAbR2Lk,CincinnatiEnquirer,"Zac Brown Band member John Driskell Hopkins on ALS diagnosis, Great American Ball Park concert"
5206,H3ILgjF1u80,KHOU11Houston,Homeless painter reunites with long-lost son
12912,dUBr7PlfMW8,KARE11,Body cam video of Kim Potter after shooting
13454,VPV-D7Ay9T8,WestVirginiaPublicBroadcasting,"Fenton Glass, 1905-2007 - part 2 of 2"
11054,AhSu0TZL9ds,WLWT-Cincinnati,Sheriff clears up confusion about Tracie Hunter's incarceration
972,IBQFSmzFpGQ,ForeignPolicy,Europe's Energy Crisis: How Bad and How Long? | Ones and Tooze Ep. 54 | An FP Podcast
9046,DTq6Gu30-uA,ABC7Chicago,Surveillance video: Florida armed robbery foiled by spring breakers
629,MdOGmtj8HyU,AudacyMusic,"VAMPIRE WEEKEND perform songs from their new album, Father Of The Bride LIVE!"
11765,FbRFqWYRazE,FOX13TampaBay,Florida woman twerks out of McDonald's after allegedly assaulting employee
7002,hA5ezR0Kh80,C-SPAN,President Obama COMPLETE REMARKS at 2016 White House Correspondents' Dinner (C-SPAN)
9915,UF6maW_EYHc,FOX5WashingtonDC,Nutrient-dense meals
6891,avKlU9nrjEA,AtlasObscura,Mapparium | 100 Wonders | Atlas Obscura
4271,SunGGUktKok,WFLA-TampaBay,'You know who I am?': Congressional candidate Martin Hyde threatens cop's career during traffic stop
5772,M1IWmkLgaBc,SunSentinel,"Judge Ehrlich, who berated frail defendant has history of calling attention to her courtroom"
3248,Cv97Yxmo6L4,Denver7,Denver BLM protester says settlement money will go to attorney and medical fees
4294,LdsrjcQSDVA,WFLA-TampaBay,"Clearwater man streams from inside Tom Cruise's penthouse, Church of Scientology not happy"
7607,dcVK7uYJzO8,ABC7LA,Flight path simulation and audio from Kobe Bryantâs Sikorsky S-76B helicopter | ABC7
376,8ul3ZSirjF4,MLiveMediaGroup,Strategy Through Whiteboards | MLive Media Group
6644,lPuEyLoJFzA,MassLive,"Bill Belichick responds to ""awesome"" Butt Fumble question"
11758,C97Ixt157zI,FOX13TampaBay,Tropics stay busy at peak of hurricane season
8060,eLIKVvs8RuQ,NewsOn6KOTV,"'A New Leaf' Organization To Open 2 Plant Shops In South Tulsa, Jenks"
1260,o8vUe1CnrI4,KTLA5,Street vendor shot in brazen robbery in Florence
15372,MoqDoet_RtA,ConsumerReports,Science Behind Walmart's âNon-Meltingâ Ice Cream | Consumer Reports
2637,zbZS35JpQIc,FOX4Dallas-FortWorth,Texas school shooting: 10-year-old survivor recalls hearing shots and screams as gunman opened fire
12620,j97rPIxw0Is,MadisonNews,"It's ""Manufacture Madness"" with the 2023 Coolest Thing Made in Wisconsin contest"
5616,EgSXTjxkdSc,WCAX-Burlington,Troopers' Assoc. escalates feud with AG over officers charged in Newfane incident
497,OMi6xgdSbMA,ArsTechnica,How Localizing Return of the Obra Dinn Nearly Sunk the Game | War Stories | Ars Technica
5987,DH5lJXkQOzA,WXYZ-Detroit,Teen caught smiling during sentencing in murder of Ann Arbor student
7833,9G1tjV31SO0,HowStuffWorks,Stuff They Don't Want You To Know - The New Madrid Fault
12896,mBtE_66mKmQ,KARE11,Hockey community celebrates Gustavusâ Jori Jones
10669,6-d9bY2_XJQ,HawaiiNewsNow,Maui residents say they had to take matters into their own hands
